d,rho,realized_rho,n_synth,auc_none,auc_none_lo,auc_none_hi,auc_linear,auc_linear_lo,auc_linear_hi,auc_expanded,auc_expanded_lo,auc_expanded_hi,pooled_sd_none,pooled_sd_expanded,pooled_sd_exp_lo,pooled_sd_exp_hi,attenuation_expanded,attenuation_linear
0.0,0.0,0.0,16,0.4818586771695254,0.47117992086158406,0.49253743347746676,0.49633284619383383,0.4839280603752221,0.5087376320124456,0.5036718731447072,0.4957357711583875,0.5116079751310268,0.08298842701605513,0.0019150679752591552,-0.028960729261519647,0.03128370467502014,,
0.06,0.0,0.0,16,0.49043827803528506,0.47902708849785636,0.5018494675727138,0.5044218780615335,0.4911243363418623,0.5177194197812047,0.5079618440196846,0.5012851311551964,0.5146385568841728,0.1405984991313006,0.046531361176381625,0.012082361080238607,0.07795645201150048,,
0.12,0.0,0.0,16,0.5140778146224614,0.5024689663234652,0.5256866629214576,0.5278953388849188,0.5144443469791309,0.5413463307907067,0.5179394735653701,0.512130412403202,0.5237485347275381,0.1977358404165166,0.08630975953506469,0.05310972879298754,0.11831080195806654,1.2743081256907125,1.981510598982553
0.18,0.0,0.0,16,0.5474066138555775,0.5351744339282463,0.5596387937829088,0.5618788993905548,0.5480183578634777,0.5757394409176319,0.5280014655237282,0.5237268086176259,0.5322761224298305,0.25420108168403743,0.1426686469406164,0.11061856328501905,0.173581369368293,0.5906658005364733,1.3052798830784778
0.24,0.0,0.0,16,0.5868428360258777,0.5741469513499462,0.5995387207018092,0.601597256692324,0.5875923015401662,0.6156022118444818,0.546079483296815,0.5413344800750483,0.5508244865185817,0.3098054795996914,0.18041240613416096,0.1486422773255903,0.2131994876908794,0.5306077669214312,1.1698979598276789
0.3,0.0,0.0,16,0.6272695803506828,0.6144695303237416,0.640069630377624,0.641829104627162,0.6279351878665277,0.6557230213877964,0.5612388597225089,0.5560043702774473,0.5664733491675704,0.36437352515865085,0.2231501055408649,0.1901280689796739,0.2553426368181243,0.48117436667716895,1.1143990907832133
0.0,0.3,0.29999999999887866,16,0.49704303035677644,0.4857170836263406,0.5083689770872123,0.49832276256312025,0.4862295260687375,0.510415999057503,0.5049685150361627,0.49684315962121106,0.5130938704511143,0.07014280865279794,-0.0063922916650059804,-0.03860197652389444,0.023818671442708304,,
0.06,0.3,0.29999999999887866,16,0.5031967356275067,0.49115476661496954,0.5152387046400438,0.5043731525573449,0.4914333527215593,0.5173129523931306,0.5086556290289483,0.5013434438666187,0.515967814191278,0.12740662570562009,0.03984242356406035,0.007553294290864356,0.07059292577229094,2.707646185837211,1.3680056992250678
0.12,0.3,0.29999999999887866,16,0.5228921910945905,0.510460819961532,0.535323562227649,0.5234223916933045,0.5100207701939552,0.5368240131926538,0.5165482852225268,0.5090041474752515,0.5240924229698022,0.18424511945769143,0.0804070031421427,0.0477866859078583,0.11041480010763317,0.7228790443933186,1.0231607623981127
0.18,0.3,0.29999999999887866,16,0.5530100088771481,0.5400205966780852,0.565999421076211,0.552088242746378,0.5387270659759097,0.5654494195168464,0.5290401932921449,0.5237028907629507,0.5343774958213391,0.2404712346379755,0.11785316443989084,0.08533652246043359,0.14882403345540196,0.5478247204116906,0.982611469979069
0.24,0.3,0.29999999999887866,16,0.5874662041955834,0.5741014661146164,0.6008309422765503,0.5866661631237857,0.5730721085640653,0.6002602176835061,0.544615183067024,0.5389143569428954,0.5503160091911525,0.29590699754994926,0.156980157762601,0.12356967933407534,0.188526513730105,0.5100848205011828,0.9908531406026415
0.3,0.3,0.29999999999887866,16,0.6247088046224532,0.6110766912229822,0.638340918021924,0.6220197651742706,0.6084618557345223,0.6355776746140189,0.5598297102686274,0.5545032743718366,0.5651561461654182,0.3503858028631493,0.2062397426559446,0.173959787442944,0.23627638423321878,0.4797553023602261,0.9784374531026625
0.0,0.6,0.5999999999984228,16,0.5136934447470506,0.5017823230846397,0.5256045664094615,0.4934481857678674,0.4822366186549389,0.504659752880796,0.5059435661026175,0.4981556567396375,0.5137314754655974,0.05461626343868436,-0.02148545555317342,-0.05305177258283364,0.011153476925876897,0.4340446259074188,-0.4784635534125748
0.06,0.6,0.5999999999984228,16,0.519603880658243,0.5082843871304841,0.530923374186002,0.49811998243058975,0.4870077146589946,0.5092322502021849,0.5070458006177361,0.49821120664947616,0.515880394585996,0.11153312955183395,0.01774729216546105,-0.014022590601743212,0.050812221127225124,0.35940846307761315,-0.09590027618433515
0.12,0.6,0.5999999999984228,16,0.5366407701542766,0.525619753790208,0.5476617865183452,0.5123640500525121,0.5011995333531264,0.5235285667518977,0.5114553692612551,0.5049286735418891,0.5179820649806212,0.1680591310618138,0.053400684984491374,0.020999154360423898,0.08543298598586262,0.31263996943901823,0.33743968809752156
0.18,0.6,0.5999999999984228,16,0.5625701998027767,0.551711737228219,0.5734286623773344,0.5331950124845831,0.5222356838065693,0.544154341162597,0.5205418967049211,0.5125273028923842,0.528556490517458,0.22400788326428453,0.08516325367877267,0.05124940745168216,0.11770353962184792,0.32830159995764535,0.5305243165151284
0.24,0.6,0.5999999999984228,16,0.594671770529633,0.5837939395218762,0.6055496015373899,0.5584103506016842,0.5470683856158353,0.5697523155875331,0.5321236381318397,0.5254413287317875,0.5388059475318919,0.27920137120327365,0.12370828991740436,0.09087076521099417,0.15567345646841452,0.3393159117245489,0.6169774820404492
0.3,0.6,0.5999999999984228,16,0.6291373740497652,0.617996324167177,0.6402784239323535,0.585632007141037,0.5743830740273119,0.5968809402547621,0.5438481801791722,0.5372775360284332,0.5504188243299113,0.33347213734811015,0.159556797540735,0.12661659683169282,0.19253456174109193,0.3395467849785658,0.6631078552676573
0.0,0.493,0.4929999999984673,16,0.5119013259403703,0.5027679143180385,0.5210347375627021,0.49636717933872676,0.4848674103341687,0.5078669483432848,0.5075298471109269,0.5000119783336181,0.5150477158882356,0.05978917411002892,-0.017630238025176763,-0.048116487726193896,0.013508303133775879,0.632689764876112,-0.30524503567710937
0.06,0.493,0.4929999999984673,16,0.5173308349118679,0.5088554876413783,0.5258061821823575,0.5017803893800304,0.4901514603109797,0.5134093184490811,0.5071708528389212,0.4990264812932466,0.5153152243845958,0.11685510162958371,0.026825279160225726,-0.0047875216396077325,0.05798655089892248,0.4137626880289912,0.10272957933557242
