region,n_cells,n_cells_equal,decode_auc,perm_p,equal_auc,equal_p,percell_mean_auc
MRN,223,222,0.8041493055555555,0.012345679012345678,0.9221406249999999,0.012345679012345678,0.45779867396534063
SC,153,126,0.870921875,0.012345679012345678,0.8761006944444445,0.012345679012345678,0.5042302823572665
SNr,79,79,0.6691736111111112,0.012345679012345678,0.7350850694444444,0.012345679012345678,0.49428481012658215
