label,N_cells,N_trials,gscale,percell_auc,recovery,se,n,rec_step,rec_ramp
Radnitz_2017-01-11,38,20,0.09,0.6224138949106384,0.85,0.035707142142714254,100,0.88,0.82
Richards_2017-10-31,2,32,0.015,0.5286536242016777,0.5,0.05,100,0.46,0.54
Richards_2017-10-31,2,32,0.022,0.5403296770533548,0.51,0.04998999899979995,100,0.48,0.54
Richards_2017-10-31,2,32,0.032,0.551714628354498,0.58,0.04935585071701227,100,0.52,0.64
Richards_2017-10-31,2,32,0.045,0.5720235134542613,0.51,0.04998999899979995,100,0.38,0.64
Richards_2017-10-31,2,32,0.065,0.5979319430567173,0.49,0.04998999899979995,100,0.52,0.46
Richards_2017-10-31,2,32,0.09,0.6224138949106384,0.54,0.04983974317750845,100,0.48,0.6
Tatum_2017-12-07,45,35,0.015,0.5286536242016777,0.52,0.049959983987187186,100,0.44,0.6
Tatum_2017-12-07,45,35,0.022,0.5403296770533548,0.49,0.04998999899979995,100,0.52,0.46
Tatum_2017-12-07,45,35,0.032,0.551714628354498,0.68,0.0466476151587624,100,0.7,0.66
Tatum_2017-12-07,45,35,0.045,0.5720235134542613,0.74,0.04386342439892262,100,0.74,0.74
Tatum_2017-12-07,45,35,0.065,0.5979319430567173,0.9,0.03,100,0.86,0.94
Tatum_2017-12-07,45,35,0.09,0.6224138949106384,0.94,0.023748684174075843,100,0.96,0.92
median_72x46,72,46,0.015,0.5286536242016777,0.6,0.04898979485566356,100,0.6,0.6
median_72x46,72,46,0.022,0.5403296770533548,0.66,0.04737087712930804,100,0.68,0.64
median_72x46,72,46,0.032,0.551714628354498,0.66,0.04737087712930804,100,0.62,0.7
median_72x46,72,46,0.045,0.5720235134542613,0.87,0.03363034344160047,100,0.88,0.86
median_72x46,72,46,0.065,0.5979319430567173,0.95,0.021794494717703377,100,0.94,0.96
median_72x46,72,46,0.09,0.6224138949106384,1.0,0.0,100,1.0,1.0
median_hiFR_20x46,20,46,0.015,0.5286536242016777,0.59,0.04918333050943175,100,0.48,0.7
median_hiFR_20x46,20,46,0.022,0.5403296770533548,0.48,0.049959983987187186,100,0.44,0.52
median_hiFR_20x46,20,46,0.032,0.551714628354498,0.58,0.04935585071701227,100,0.56,0.6
median_hiFR_20x46,20,46,0.045,0.5720235134542613,0.7,0.045825756949558406,100,0.66,0.74
median_hiFR_20x46,20,46,0.065,0.5979319430567173,0.77,0.042083250825001625,100,0.76,0.78
median_hiFR_20x46,20,46,0.09,0.6224138949106384,0.86,0.03469870314579494,100,0.9,0.82
