region,ibl_triple,stein_triple,ibl_choice_fdr,stein_choice_fdr,ibl_decode_strict,stein_decode_equal,stein_decode_decorr,stein_pooled_sd,stein_pooled_p
MRN,29,4,47,60,0.79,0.9221406249999999,0.8041493055555555,0.09455165690529829,5.591807921292445e-07
SC,17,4,27,45,0.37,0.8761006944444445,0.870921875,0.12330586175084002,3.0108736571230814e-05
SNr,3,0,9,13,0.33,0.7350850694444444,0.6691736111111112,0.07406879635373459,0.0227032003785972
