gscale,percell_auc,agg_majority,agg_pooled,agg_maj_step,agg_maj_ramp,best_single,k1,k3,k5,k7,k11
0.015,0.5286536242016777,0.51,0.5433333333333333,0.2966666666666667,0.7233333333333334,0.6,0.495,0.4866666666666667,0.47,0.5466666666666666,0.5416666666666666
0.022,0.5403296770533548,0.6283333333333333,0.6666666666666666,0.4033333333333333,0.8533333333333334,0.66,0.5016666666666667,0.5983333333333334,0.6483333333333333,0.58,0.6083333333333333
0.032,0.551714628354498,0.78,0.8683333333333333,0.7233333333333334,0.8366666666666667,0.69,0.6766666666666666,0.7416666666666667,0.7483333333333333,0.7666666666666667,0.7933333333333333
0.045,0.5720235134542613,0.8883333333333333,0.965,0.8966666666666666,0.88,0.87,0.74,0.8483333333333334,0.855,0.835,0.87
0.065,0.5979319430567173,0.9666666666666667,0.995,0.9733333333333334,0.96,0.95,0.8983333333333333,0.9583333333333334,0.9416666666666667,0.9716666666666667,0.9466666666666667
0.09,0.6224138949106384,0.9916666666666667,1.0,0.9833333333333333,1.0,1.0,0.935,0.985,0.9883333333333333,1.0,0.9983333333333333
