region,equal_testable,transfer_choice,no_transfer,choice_sig_raw,choice_sig_fdr,pooled_eff_sd,eff_lo,eff_hi,pooled_p
MRN,223,142,81,17,0,0.09455165690529829,0.05065554938621854,0.13829593743584756,5.591807921292445e-07
SC,168,104,64,4,0,0.12330586175084002,0.0651420340776344,0.1834259328039204,3.0108736571230814e-05
SNr,79,46,33,5,0,0.07406879635373459,-0.013142850016520461,0.1622701337825663,0.0227032003785972
