true,N,fr,fano,recovery,R
step,40,20.0,2.0,0.4,20
step,40,20.0,3.0,0.55,20
ramp,40,20.0,1.0,0.65,20
ramp,40,20.0,1.5,0.6,20
ramp,40,20.0,2.0,0.6,20
ramp,40,20.0,3.0,0.5,20
step,80,20.0,1.0,0.75,20
step,80,20.0,1.5,0.65,20
step,80,20.0,2.0,0.65,20
step,80,20.0,3.0,0.85,20
ramp,80,20.0,1.0,0.8,20
ramp,80,20.0,1.5,0.75,20
ramp,80,20.0,2.0,0.65,20
ramp,80,20.0,3.0,0.55,20
step,20,40.0,1.0,0.8,20
step,20,40.0,1.5,0.55,20
step,20,40.0,2.0,0.75,20
step,20,40.0,3.0,0.55,20
ramp,20,40.0,1.0,0.65,20
ramp,20,40.0,1.5,0.7,20
ramp,20,40.0,2.0,0.6,20
ramp,20,40.0,3.0,0.4,20
step,40,40.0,1.0,0.75,20
step,40,40.0,1.5,0.9,20
step,40,40.0,2.0,0.75,20
step,40,40.0,3.0,0.65,20
ramp,40,40.0,1.0,0.8,20
ramp,40,40.0,1.5,0.9,20
ramp,40,40.0,2.0,0.65,20
ramp,40,40.0,3.0,0.75,20
step,80,40.0,1.0,0.85,20
step,80,40.0,1.5,0.7,20
step,80,40.0,2.0,0.65,20
step,80,40.0,3.0,0.7,20
ramp,80,40.0,1.0,0.8,20
ramp,80,40.0,1.5,0.8,20
ramp,80,40.0,2.0,0.75,20
ramp,80,40.0,3.0,0.65,20
step,160,40.0,1.0,0.95,20
step,160,40.0,1.5,0.95,20
step,160,40.0,2.0,0.95,20
step,160,40.0,3.0,0.8,20
ramp,160,40.0,1.0,0.85,20
ramp,160,40.0,1.5,0.85,20
ramp,160,40.0,2.0,0.8,20
ramp,160,40.0,3.0,0.85,20
step,320,40.0,1.0,0.95,20
step,320,40.0,1.5,0.8,20
step,320,40.0,2.0,0.95,20
step,320,40.0,3.0,0.7,20
ramp,320,40.0,1.0,1.0,20
ramp,320,40.0,1.5,0.95,20
ramp,320,40.0,2.0,1.0,20
ramp,320,40.0,3.0,0.95,20
