region,n_cells,n_cells_err,decode_auc,ci_lo,ci_hi,null_auc,null_hi,perm_p,err_auc,err_ci_lo,err_ci_hi,err_null,err_p,percell_mean_auc,percell_p95_auc
GRN,130,56,0.1669878472222222,0.09694878472222222,0.24401519097222216,0.4924618055555555,0.679302083333333,1.0,0.6729982638888888,0.5554943142361111,0.7884469184027777,0.47997055844907405,0.024691358024691357,0.5085919497169497,0.8212499999999999
MRN,669,243,0.7071996527777777,0.6226027343749999,0.7761333767361112,0.5019127604166667,0.6611945891203702,0.012345679012345678,0.7944253472222222,0.7133196180555554,0.8684656250000001,0.5169509548611112,0.012345679012345678,0.5068538032897418,0.7714285714285714
SNr,41,29,0.5890000000000001,0.5207533420138888,0.6558746961805556,0.4917800925925926,0.6096338252314809,0.06172839506172839,0.33363541666666663,0.26499266493055557,0.40660889756944446,0.5063865740740742,0.9382716049382716,0.5358390305493965,0.725
SCm,375,166,0.6972274305555556,0.6079937934027778,0.7774472222222222,0.4931111111111111,0.6286127025462963,0.012345679012345678,0.3689409722222222,0.2600827256944444,0.4852269965277777,0.5028551070601852,0.9259259259259259,0.4716689575503861,0.7
IRN,161,38,0.8987326388888889,0.8457790364583334,0.9416500434027777,0.49524207899305556,0.6229955150462961,0.012345679012345678,0.6234461805555556,0.5545490885416666,0.6914301649305555,0.4835455729166666,0.037037037037037035,0.495290726354391,0.8
