label,N_cells,N_trials,gscale,recovery,se
easy_sanity,80.0,120.0,0.2,1.0,0.0
null_nocoupling,243.0,200.0,0.0,0.5,0.04564354645876384
mrn_Nt25,243.0,25.0,0.015,0.6666666666666666,0.04303314829119352
mrn_Nt50,243.0,50.0,0.015,0.7083333333333334,0.0414926923508046
mrn_Nt100,243.0,100.0,0.015,0.8666666666666667,0.031031644541708755
mrn_Nt200,243.0,200.0,0.015,0.8916666666666667,0.028372113982779845
mrn_Nt320,243.0,320.0,0.015,0.875,0.030190368221227996
