true,N,fr,fano,recovery,R
step,40,20.0,2.0,0.525,40
step,40,20.0,3.0,0.575,40
ramp,40,20.0,1.0,0.675,40
ramp,40,20.0,1.5,0.425,40
ramp,40,20.0,2.0,0.65,40
ramp,40,20.0,3.0,0.475,40
step,80,20.0,1.0,0.725,40
step,80,20.0,1.5,0.725,40
step,80,20.0,2.0,0.675,40
step,80,20.0,3.0,0.7,40
ramp,80,20.0,1.0,0.725,40
ramp,80,20.0,1.5,0.625,40
ramp,80,20.0,2.0,0.6,40
ramp,80,20.0,3.0,0.475,40
step,20,40.0,1.0,0.825,40
step,20,40.0,1.5,0.6,40
step,20,40.0,2.0,0.575,40
step,20,40.0,3.0,0.625,40
ramp,20,40.0,1.0,0.775,40
ramp,20,40.0,1.5,0.625,40
ramp,20,40.0,2.0,0.55,40
ramp,20,40.0,3.0,0.65,40
step,40,40.0,1.0,0.8,40
step,40,40.0,1.5,0.875,40
step,40,40.0,2.0,0.8,40
step,40,40.0,3.0,0.65,40
ramp,40,40.0,1.0,0.7,40
ramp,40,40.0,1.5,0.725,40
ramp,40,40.0,2.0,0.775,40
ramp,40,40.0,3.0,0.675,40
step,80,40.0,1.0,0.825,40
step,80,40.0,1.5,0.75,40
step,80,40.0,2.0,0.65,40
step,80,40.0,3.0,0.8,40
ramp,80,40.0,1.0,0.725,40
ramp,80,40.0,1.5,0.825,40
ramp,80,40.0,2.0,0.75,40
ramp,80,40.0,3.0,0.675,40
step,160,40.0,1.0,0.95,40
step,160,40.0,1.5,0.925,40
step,160,40.0,2.0,0.925,40
step,160,40.0,3.0,0.775,40
ramp,160,40.0,1.0,0.875,40
ramp,160,40.0,1.5,0.925,40
ramp,160,40.0,2.0,0.725,40
ramp,160,40.0,3.0,0.85,40
step,320,40.0,1.0,0.95,40
step,320,40.0,1.5,0.9,40
step,320,40.0,2.0,0.9,40
step,320,40.0,3.0,0.825,40
ramp,320,40.0,1.0,1.0,40
ramp,320,40.0,1.5,0.875,40
ramp,320,40.0,2.0,0.875,40
ramp,320,40.0,3.0,0.9,40
