cell,region,fr_window,n,auc_move_none,p_move_none,auc_move_linear,p_move_linear,auc_move_expanded,p_move_expanded,auc_move_pca_expanded,p_move_pca_expanded,dataset
00a824c0-e060-495f-9ebc-79c82fef4c67:144,SCm,15.48487752369754,164,0.44719101123595506,0.23738130934532733,0.4699625468164794,0.5147426286856571,0.5045692883895131,0.9295352323838081,0.4633707865168539,0.4257871064467766,IBL
00a824c0-e060-495f-9ebc-79c82fef4c67:215,SCm,29.54882732643965,164,0.5069662921348315,0.8695652173913043,0.4654681647940075,0.46276861569215394,0.48089887640449436,0.6896551724137931,0.48434456928838954,0.7376311844077961,IBL
00a824c0-e060-495f-9ebc-79c82fef4c67:220,SCm,39.45679981700536,164,0.5695880149812734,0.1409295352323838,0.5415730337078651,0.3563218390804598,0.5267415730337078,0.5637181409295352,0.5471161048689138,0.30634682658670664,IBL
00a824c0-e060-495f-9ebc-79c82fef4c67:228,SCm,26.780231641178577,164,0.39146067415730335,0.013993003498250875,0.4435955056179775,0.22438780609695153,0.44614232209737825,0.2413793103448276,0.39685393258426965,0.017991004497751123,IBL
00a824c0-e060-495f-9ebc-79c82fef4c67:232,SCm,50.572092602887885,164,0.5674157303370787,0.13193403298350825,0.5394756554307116,0.39080459770114945,0.5080149812734083,0.8610694652673663,0.5406741573033708,0.3708145927036482,IBL
00a824c0-e060-495f-9ebc-79c82fef4c67:254,SCm,66.08499600650312,164,0.43595505617977526,0.15092453773113443,0.46172284644194755,0.40679660169915044,0.4743071161048689,0.559720139930035,0.4635205992509363,0.4192903548225887,IBL
00a824c0-e060-495f-9ebc-79c82fef4c67:261,SCm,18.187179962573737,164,0.4158801498127341,0.06296851574212893,0.4107865168539326,0.05697151424287856,0.4453932584269663,0.21889055472263869,0.4310112359550562,0.12993503248375812,IBL
00a824c0-e060-495f-9ebc-79c82fef4c67:308,SCm,13.204126213161148,164,0.6283895131086142,0.00399800099950025,0.575880149812734,0.08995502248875563,0.527191011235955,0.5557221389305347,0.598501872659176,0.034482758620689655,IBL
00a824c0-e060-495f-9ebc-79c82fef4c67:42,MRN,59.06354122813123,164,0.5970037453183521,0.03298350824587706,0.5156554307116105,0.729135432283858,0.47250936329588017,0.5387306346826587,0.5602996254681648,0.18590704647676162,IBL
00a824c0-e060-495f-9ebc-79c82fef4c67:44,MRN,29.649248566221427,164,0.46726591760299624,0.46326836581709147,0.47250936329588017,0.5467266366816592,0.48704119850187266,0.782608695652174,0.44883895131086143,0.25987006496751625,IBL
00a824c0-e060-495f-9ebc-79c82fef4c67:52,MRN,39.14556950157347,164,0.46217228464419474,0.41379310344827586,0.44269662921348313,0.21489255372313842,0.5024719101123596,0.9580209895052474,0.4540823970037453,0.31134432783608196,IBL
